San Benito,CA,42.03,30.3,60184,17122,12.9,7.12,49.27,27.7,428
San Bernardino,CA,38.74,29.3,31179,16388,17.5,8.15,50.05,76.4,691
San Diego,CA,37.24,30.9,68605,20689,16.3,10.3,52.7,618.8,660
San Francisco,CA,72.4,35.8,360313,31918,13.5,11.39,53.45,15621,1082
San Joaquin,CA,41.28,30.9,66194,17138,18.8,8.56,49.23,360.2,815
San Luis Obispo,CA,38.36,33.1,67268,18261,12.7,10.01,48.53,66.8,383
San Mateo,CA,53.97,34.8,88188,30531,6.9,12.71,50.85,1476.7,447
Santa Barbara,CA,42.53,31.6,90068,23680,14.5,11.01,49.36,137.5,503
Santa Clara,CA,49.21,31.9,92634,26772,9.2,11.42,55.09,1183.1,489
Santa Cruz,CA,58.06,33,64480,23076,13.8,10.33,50.03,519.2,608
Shasta,CA,31.61,34.9,70305,17292,15.9,11.18,50.97,41.6,469
Siskiyou,CA,39.91,37.3,83006,15864,16.6,14.49,50.65,7,403
Solano,CA,48.69,30.8,43141,18901,9.7,10.11,50.17,435.3,628
Sonoma,CA,52.78,34.8,72064,22928,10.4,10.88,50.82,255.4,490
Stanislaus,CA,40.95,30.5,57185,16787,17.2,8.09,50.41,264.4,668
Sutter,CA,30.48,32.4,60863,18574,15.6,9.8,50.42,115.1,539
Tehama,CA,35.79,36,64007,14062,18.2,11.27,50.72,17.6,517
Tulare,CA,35.22,29.2,54247,15342,28.2,7.65,49.96,68.7,632
Tuolumne,CA,38.12,37.2,75885,16919,12,10.67,47.37,22.6,387
Ventura,CA,36.99,31.7,57175,21837,11.1,10.52,50.39,372,439
Yolo,CA,53.33,28.9,72646,19586,16.6,8.97,49.59,143.2,712
Yuba,CA,34.24,29.2,37114,13956,21.1,10.26,49.96,96.3,622
Adams,CO,44,30.7,23650,16715,12.9,12.83,50.27,235.1,692
Alamosa,CO,41.76,28.1,65165,13935,24,8.3,50.76,19.2,650
Arapahoe,CO,36.21,32.4,59827,24963,6.7,10.83,51.16,523.7,654
Bent,CO,43.64,39.1,83252,16563,20,25.04,48.09,3.3,226
